Tree,Tier,Skill ID,Skill Name,Image Link,Stat Bonus
Guardian,6,362,Undying,https://app.kamigotchi.io/assets/undying-BRjBD67J.png,-12.5% Strain
Guardian,6,363,Obsession,https://app.kamigotchi.io/assets/obsession-CAoq-OcT.png,25/hr Intensity Boost
Harvester,1,411,Acquisitiveness,https://app.kamigotchi.io/assets/acquisitiveness-BEUA9MGW.png,1 Power
Harvester,1,412,Mogging,https://app.kamigotchi.io/assets/mogging-GXrkIEcL.png,10 Health
Harvester,1,413,Greed,https://app.kamigotchi.io/assets/greed-DlvUiNSi.png,4% Bounty Boost
Harvester,2,421,Wide Portfolio,https://app.kamigotchi.io/assets/wide_portfolio-DW-tj0Ia.png,-2.5% Strain
Harvester,2,422,Side Hustles,https://app.kamigotchi.io/assets/side_hustles-DIlNZFiI.png,6% Fertility Boost
Harvester,2,423,Hedging,https://app.kamigotchi.io/assets/hedging-oTyDdUU-.png,2% Salvage Ratio
Harvester,3,431,Technical Analysis,https://app.kamigotchi.io/assets/technical_analysis-lQjW8G8X.png,3 Power
Harvester,3,432,Daylight Savings,https://app.kamigotchi.io/assets/daylight_savings-CncZZKoy.png,-5% Defense Shift
Harvester,3,433,Leverage,https://app.kamigotchi.io/assets/leverage-BD4ScNtv.png,10% Bounty Boost
Harvester,4,441,Opportunist,https://app.kamigotchi.io/assets/opportunist-2RqC8NsY.png,1 Violence
Harvester,4,442,Trading Courses,https://app.kamigotchi.io/assets/trading_courses-mL6aZB2L.png,6% Fertility Boost
Harvester,4,443,Index Funds,https://app.kamigotchi.io/assets/index_funds-CmTD13P-.png,1 Harmony
Harvester,5,451,Time in the Market,https://app.kamigotchi.io/assets/time_in_the_market-BFVOi9S4.png,-2.5% Strain
Harvester,5,452,Looping,https://app.kamigotchi.io/assets/looping-DUup9RPr.png,10 Health
Harvester,5,453,Stimulants,https://app.kamigotchi.io/assets/stimulants-oWNJ2i1l.png,4% Bounty Boost
Harvester,6,461,Intelligent Investor,https://app.kamigotchi.io/assets/intelligent_investor-DQxqfgre.png,5 Power
Harvester,6,462,Paid Groupchat,https://app.kamigotchi.io/assets/paid_groupchat-C4Te42Ja.png,30% Fertility Boost
Harvester,6,463,Coward,https://app.kamigotchi.io/assets/coward-DBPNiNvD.png,10% Salvage Ratio
